location,lat,long,category,time,time_classification,date,description,reported
Juja Square,-1.098,37.019,sexual harrasment,02:38,night,2024-10-21,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
JKUAT Main Gate,-1.0925,37.011,traffic violations,21:17,night,2025-06-20,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",no
Gachororo,-1.0905,37.0119,kidnapping,00:29,night,2024-09-13,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,murder,13:56,afternoon,2025-03-04,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,no
Gate C,-1.0922,37.0131,battery,14:15,afternoon,2024-06-19,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug possession,05:51,night,2024-07-22,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,kidnapping,17:26,evening,2025-03-28,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,reckless driving,03:35,night,2024-06-24,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT hostels area,-1.09,37.012,robbery,22:35,night,2024-10-17,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",no
Juja Market,-1.096,37.0175,drug possession,20:16,evening,2024-05-22,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT hostels area,-1.09,37.012,reckless driving,07:25,morning,2024-12-03,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
JKUAT hostels area,-1.09,37.012,burglary,08:51,morning,2025-07-01,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,no
Cherry Park,-1.0948,37.0106,murder,04:14,night,2024-11-06,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,no
Juja Police Station,-1.1,37.015,drug possession,18:56,evening,2024-06-27,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
Highpoint,-1.1,37.015,armed robbery,03:09,night,2024-11-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",no
Gachororo,-1.0905,37.0119,domestic violence,03:20,night,2024-08-18,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,robbery,17:03,evening,2024-05-11,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",yes
Juja Square,-1.098,37.019,fraud,16:49,afternoon,2025-04-16,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,no
JKUAT Main Gate,-1.0925,37.011,drug possession,11:36,morning,2025-05-14,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
Juja Market,-1.096,37.0175,reckless driving,00:50,night,2024-06-14,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",no
JKUAT Enterprises LTD.,-1.0915,37.014,phone snatching,09:36,morning,2025-01-13,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT Main Gate,-1.0925,37.011,armed robbery,06:36,morning,2025-02-18,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,yes
Juja Stage,-1.099,37.02,robbery,21:52,night,2024-07-02,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Stage,-1.099,37.02,robbery,02:39,night,2024-07-07,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,no
Juja Square,-1.098,37.019,robbery,04:56,night,2024-10-06,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",no
Juja Police Station,-1.0932,37.0125,drug possession,01:54,night,2024-11-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja City Mall,-1.095,37.0165,robbery,05:12,night,2024-08-22,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
JKUAT Main Gate,-1.0925,37.011,drug trafficking,14:53,afternoon,2025-03-01,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,no
Cherry Park,-1.0948,37.0106,domestic violence,08:53,morning,2025-05-27,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Juja Market,-1.096,37.0175,robbery,12:29,afternoon,2024-07-14,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,yes
Juja Stage,-1.099,37.02,sexual harrasment,04:18,night,2024-09-28,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
JKUAT Hospital,-1.093,37.0155,drug possession,21:08,night,2024-11-26,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",yes
Highpoint,-1.1,37.015,murder,05:46,night,2025-05-07,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Juja Square,-1.098,37.019,drug possession,02:43,night,2025-03-21,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate B,-1.0932,37.0125,battery,23:07,night,2024-12-09,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Main Gate,-1.0925,37.011,fraud,00:00,night,2025-06-17,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",no
Cherry Park,-1.0948,37.0106,battery,23:37,night,2024-05-22,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Juja Police Station,-1.091,37.0135,drug possession,05:30,night,2025-03-01,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug trafficking,10:22,morning,2025-07-06,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,yes
Gachororo,-1.0905,37.0119,drug possession,01:27,night,2024-08-13,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,no
Highpoint,-1.1,37.015,phone snatching,03:13,night,2025-02-24,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,no
Juja Market,-1.096,37.0175,kidnapping,09:20,morning,2024-09-13,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Main Gate,-1.0925,37.011,domestic violence,16:41,afternoon,2025-06-01,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.",yes
Gate C,-1.0922,37.0131,drug trafficking,04:32,night,2025-06-25,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",yes
Juja Square,-1.098,37.019,armed robbery,00:53,night,2025-02-04,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,no
Juja City Mall,-1.095,37.0165,drug possession,10:44,morning,2025-05-01,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Enterprises LTD.,-1.0915,37.014,drug possession,15:35,afternoon,2024-11-23,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",yes
Highpoint,-1.1,37.015,drug trafficking,17:34,evening,2024-05-02,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Gachororo,-1.0905,37.0119,fraud,17:46,evening,2024-05-24,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",yes
Juja Market,-1.096,37.0175,murder,22:14,night,2024-12-05,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Gachororo,-1.0905,37.0119,drug trafficking,22:09,night,2024-09-07,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
Juja Square,-1.098,37.019,domestic violence,20:07,evening,2025-05-29,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate B,-1.0932,37.0125,phone snatching,12:20,afternoon,2024-11-29,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
Juja Stage,-1.099,37.02,reckless driving,08:17,morning,2024-06-30,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.",yes
Juja Police Station,-1.1,37.015,drug possession,23:07,night,2024-08-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT Main Gate,-1.0925,37.011,drug possession,21:08,night,2025-02-01,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
Cherry Park,-1.0948,37.0106,assault,22:08,night,2024-06-10,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT Hospital,-1.0932,37.0125,assault,10:14,morning,2024-07-11,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,no
Juja Market,-1.096,37.0175,phone snatching,16:28,afternoon,2024-11-12,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja Market,-1.096,37.0175,burglary,16:22,afternoon,2025-05-09,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Juja Market,-1.096,37.0175,phone snatching,22:13,night,2024-06-20,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
JKUAT hostels area,-1.09,37.012,robbery,20:37,evening,2025-03-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
Gate B,-1.0932,37.0125,phone snatching,05:28,night,2025-02-02,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,no
JKUAT Main Gate,-1.0925,37.011,robbery,06:25,morning,2025-04-21,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",yes
Highpoint,-1.1,37.015,drug possession,00:23,night,2024-06-25,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",no
Juja Stage,-1.099,37.02,fraud,02:01,night,2024-06-30,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT Hospital,-1.09,37.012,drug trafficking,11:21,morning,2024-06-09,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
Gachororo,-1.0905,37.0119,armed robbery,13:30,afternoon,2024-08-04,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",yes
Juja City Mall,-1.095,37.0165,fraud,18:30,evening,2024-05-28,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",no
Gachororo,-1.0905,37.0119,domestic violence,15:08,afternoon,2025-01-25,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate C,-1.0922,37.0131,burglary,00:40,night,2024-08-23,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",no
JKUAT hostels area,-1.09,37.012,drug possession,02:15,night,2025-04-19,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",no
Juja City Mall,-1.095,37.0165,kidnapping,01:12,night,2024-12-17,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.",yes
JKUAT Main Gate,-1.0925,37.011,robbery,23:11,night,2024-06-12,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",no
Juja City Mall,-1.095,37.0165,traffic violations,04:06,night,2024-07-25,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",yes
Juja Square,-1.098,37.019,drug possession,08:08,morning,2025-05-19,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
Cherry Park,-1.0948,37.0106,drug possession,07:13,morning,2025-03-20,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Juja City Mall,-1.095,37.0165,traffic violations,02:54,night,2025-07-02,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Cherry Park,-1.0948,37.0106,armed robbery,12:25,afternoon,2024-09-09,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",yes
Juja City Mall,-1.095,37.0165,domestic violence,18:05,evening,2024-07-01,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,no
Highpoint,-1.1,37.015,assault,08:17,morning,2024-07-23,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,yes
Cherry Park,-1.0948,37.0106,robbery,10:34,morning,2025-06-04,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,no
Gate B,-1.0932,37.0125,traffic violations,06:11,morning,2025-07-06,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",yes
Cherry Park,-1.0948,37.0106,robbery,20:50,evening,2024-11-24,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Juja City Mall,-1.095,37.0165,phone snatching,11:10,morning,2024-10-12,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT hostels area,-1.09,37.012,drug possession,23:07,night,2024-06-10,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
Gate B,-1.0932,37.0125,reckless driving,08:36,morning,2024-06-26,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,robbery,11:06,morning,2024-09-08,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",no
JKUAT Hospital,-1.091,37.0135,drug possession,03:32,night,2025-03-22,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
Gate B,-1.0932,37.0125,drug trafficking,00:25,night,2024-10-17,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",yes
Cherry Park,-1.0948,37.0106,sexual harrasment,19:42,evening,2025-04-20,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",no
Juja City Mall,-1.095,37.0165,drug possession,11:53,morning,2024-05-31,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
Juja City Mall,-1.095,37.0165,domestic violence,05:51,night,2024-05-04,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Hospital,-1.0925,37.011,drug trafficking,00:54,night,2025-02-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
Gate B,-1.0932,37.0125,traffic violations,02:05,night,2024-06-26,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",no
Cherry Park,-1.0948,37.0106,burglary,04:59,night,2024-09-18,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
Gate C,-1.0922,37.0131,reckless driving,01:46,night,2025-04-12,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT Enterprises LTD.,-1.0915,37.014,drug trafficking,04:04,night,2024-10-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT hostels area,-1.09,37.012,drug possession,04:28,night,2024-07-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
JKUAT Main Gate,-1.0925,37.011,sexual harrasment,08:06,morning,2025-02-22,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Cherry Park,-1.0948,37.0106,battery,11:06,morning,2025-03-31,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Gate C,-1.0922,37.0131,robbery,12:20,afternoon,2025-03-19,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Main Gate,-1.0925,37.011,sexual harrasment,21:47,night,2025-04-17,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Juja City Mall,-1.095,37.0165,robbery,10:21,morning,2024-12-07,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,yes
Gate C,-1.0922,37.0131,robbery,22:05,night,2025-02-27,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
Juja City Mall,-1.095,37.0165,drug possession,22:45,night,2024-08-10,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja City Mall,-1.095,37.0165,assault,06:10,morning,2024-05-10,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,no
Gachororo,-1.0905,37.0119,phone snatching,22:59,night,2024-08-22,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
JKUAT Enterprises LTD.,-1.0915,37.014,fraud,09:44,morning,2024-10-20,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",no
Juja Square,-1.098,37.019,domestic violence,17:53,evening,2025-04-11,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",no
Juja City Mall,-1.095,37.0165,armed robbery,23:47,night,2024-05-04,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,no
JKUAT hostels area,-1.09,37.012,kidnapping,04:22,night,2024-07-31,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Highpoint,-1.1,37.015,kidnapping,02:39,night,2025-05-16,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,yes
Juja Stage,-1.099,37.02,assault,09:13,morning,2024-09-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
Juja Police Station,-1.0905,37.0119,drug possession,17:38,evening,2025-02-11,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.",yes
Juja Market,-1.096,37.0175,battery,12:17,afternoon,2025-04-21,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,reckless driving,12:10,afternoon,2024-12-04,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,assault,18:37,evening,2025-05-08,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Square,-1.098,37.019,murder,08:39,morning,2025-02-04,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT Hospital,-1.09,37.012,drug possession,18:47,evening,2024-09-30,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,drug possession,15:05,afternoon,2025-05-12,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Juja Stage,-1.099,37.02,phone snatching,05:52,night,2025-06-02,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",no
Juja Market,-1.096,37.0175,sexual harrasment,13:36,afternoon,2025-03-25,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
Highpoint,-1.1,37.015,fraud,04:01,night,2024-07-17,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
Gachororo,-1.0905,37.0119,reckless driving,03:23,night,2024-06-03,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.",no
Gate C,-1.0922,37.0131,armed robbery,12:05,afternoon,2024-06-06,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,no
Gate B,-1.0932,37.0125,fraud,03:26,night,2024-09-20,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",no
Juja Market,-1.096,37.0175,robbery,08:09,morning,2024-06-27,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Square,-1.098,37.019,phone snatching,11:10,morning,2024-12-21,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,no
Gate C,-1.0922,37.0131,battery,05:11,night,2025-02-04,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug trafficking,19:59,evening,2024-06-19,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,no
Highpoint,-1.1,37.015,phone snatching,07:10,morning,2025-06-13,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Cherry Park,-1.0948,37.0106,domestic violence,03:39,night,2025-01-04,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
Juja Square,-1.098,37.019,domestic violence,12:19,afternoon,2025-03-01,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja Square,-1.098,37.019,reckless driving,04:29,night,2024-07-26,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
